1.000000	-0.00017	0.00269     0.89442	0.00053     -0.00311	-0.39023
2.000000	-0.00001	-0.00000	0.94084	0.00121     -0.02059	-0.52287
3.000000	-0.00008	0.00416     0.91408	0.00110     -0.02964	-0.26984
4.000000	-0.00046	0.00987     0.92235	0.00160     -0.03479	-0.13686
5.000000	-0.00014	0.00308     0.95687	0.00046     -0.01653	-0.06481
6.000000	-0.00001	0.00074     0.97364	-0.00120	0.02158     -0.48027

1.000000	-0.00041	0.01548     0.63630	0.00117     -0.02638	-0.74659
2.000000	0.00015     -0.00327	0.80789	-0.00005	0.00339     -0.81432
3.000000	-0.00004	0.00449     0.78630	0.00075     -0.02090	-0.52436
4.000000	-0.00073	0.01215     0.84170	0.00131     -0.02622	-0.45885
5.000000	0.00024     -0.00501	0.91972	-0.00039	0.00470     -0.48541
6.000000	-0.00043	0.00992     0.85625	0.00029     -0.00527	-0.32724


1.000000	0.00004	    -0.00054	0.99335	-0.00172	0.03067	    -0.60670
2.000000	0.00003     -0.00064	0.99942	0.00254	    -0.04530	-0.32087
3.000000	-0.00007	0.00185     0.98513	0.00185	    -0.05034	-0.08251
4.000000	0.00003     -0.00092	1.00176	0.00037	    -0.00818	-0.16793
5.000000	0.00002     -0.00050	1.00015	0.00109	    -0.02065	-0.09310
6.000000	0.00008     -0.00159	1.00125	0.00017	    -0.00435	-0.06550
1.000000	0.00004	-0.00054	0.99335	-0.00172	0.03067	-0.60670
2.000000	0.00003	-0.00064	0.99942	0.00254	-0.04530	-0.32087
3.000000	-0.00007	0.00185	0.98513	0.00185	-0.05034	-0.08251
4.000000	0.00003	-0.00092	1.00176	0.00037	-0.00818	-0.16793
5.000000	0.00002	-0.00050	1.00015	0.00109	-0.02065	-0.09310
6.000000	0.00008	-0.00159	1.00125	0.00017	-0.00435	-0.06550
1.000000	0.00004	-0.00054	0.99335	-0.00172	0.03067	-0.60670
2.000000	0.00003	-0.00064	0.99942	0.00254	-0.04530	-0.32087
3.000000	-0.00007	0.00185	0.98513	0.00185	-0.05034	-0.08251
4.000000	0.00003	-0.00092	1.00176	0.00037	-0.00818	-0.16793
5.000000	0.00002	-0.00050	1.00015	0.00109	-0.02065	-0.09310
6.000000	0.00008	-0.00159	1.00125	0.00017	-0.00435	-0.06550
1.000000	0.00004	-0.00054	0.99335	-0.00172	0.03067	-0.60670
2.000000	0.00003	-0.00064	0.99942	0.00254	-0.04530	-0.32087
3.000000	-0.00007	0.00185	0.98513	0.00185	-0.05034	-0.08251
4.000000	0.00003	-0.00092	1.00176	0.00037	-0.00818	-0.16793
5.000000	0.00002	-0.00050	1.00015	0.00109	-0.02065	-0.09310
6.000000	0.00008	-0.00159	1.00125	0.00017	-0.00435	-0.06550
1.000000	0.00004	-0.00054	0.99335	-0.00172	0.03067	-0.60670
2.000000	0.00003	-0.00064	0.99942	0.00254	-0.04530	-0.32087
3.000000	-0.00007	0.00185	0.98513	0.00185	-0.05034	-0.08251
4.000000	0.00003	-0.00092	1.00176	0.00037	-0.00818	-0.16793
5.000000	0.00002	-0.00050	1.00015	0.00109	-0.02065	-0.09310
6.000000	0.00008	-0.00159	1.00125	0.00017	-0.00435	-0.06550
